,Touchscreen Display,Screen Size,Processor Type,Weight,Year of Original Release,Processor Cores,Colour,Convertible/Hybrid Display,2-in-1,windows laptop,macbook,macbook_air,macbook_pro,surface,chromebook,gaming_laptop
118,0,14,Intel Core i5-6300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
123,0,14,Intel Core i5-6300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
215,0,14,Intel Core i5-4300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
225,0,14,Core i5-4300U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
226,0,14,AMD A-Series A9-9420e,4.7,0,2,0,0,0,1,0,0,0,0,0,0
227,0,14,Intel Core i5-4310M,4.7,0,2,0,0,0,1,0,0,0,0,0,0
231,0,14,Intel Core i5-6200U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
233,0,14,Intel Core i5-5300U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
256,0,14,Intel® Core™  i5-1035G4,4.7,0,4,0,0,0,1,0,0,0,0,0,0
278,0,14,Intel Core i5 2520m 2.5GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
284,0,14,Intel Core i5 4300m,4.7,0,0,0,0,0,1,0,0,0,0,0,0
285,0,14,Intel Core i5 3320m 2.6GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
286,0,14,Intel Core i5 3320m 2.6GHz,0,0,2,0,0,0,1,0,0,0,0,0,0
287,0,14,Intel Core i5 4300m 2.6GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
288,0,14,Intel Core i5 5300u 2.3GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
291,0,14,Intel Core i5 5300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
303,0,14,Intel Core i7-5600U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
304,0,14,Intel Core i7-5600U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
305,0,14,Core i5-5300U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
306,0,14,Core i5-5300U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
325,0,14,Intel Core i5 6300u 2.4GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
326,0,14,Core i5(3320M),4.7,0,0,0,0,0,1,0,0,0,0,0,0
341,0,14,Intel Core i5 5300u 2.3GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
342,0,14,1.9GHz (Up to 2.9 GHz),4.7,0,2,0,0,0,1,0,0,0,0,0,0
360,0,14,AMD A10 PRO-7350B,4.7,0,0,0,0,0,1,0,0,0,0,0,0
366,0,14,Intel Core i7 2620m 2.7GHz,0,0,2,0,0,0,1,0,0,0,0,0,0
377,0,14,0,4.7,0,0,0,0,0,1,0,0,0,0,0,0
378,0,14,Intel i7-3rd Gen-3667U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
379,0,14,Intel Core i5-4300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
394,0,14,Intel i7-4600U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
397,0,14,Intel Core i5 i5-6300U,0,0,0,0,0,0,1,0,0,0,0,0,0
404,0,14,Intel Core i5 6300u 2.4GHz,0,0,2,0,0,0,1,0,0,0,0,0,0
752,0,14,1.6 GHz AMD A4-9120C Dual-Core,4.14,0,2,0,0,0,0,0,0,0,0,1,0
821,0,14,Intel Core M3 8100Y,4.14,0,0,0,0,0,0,0,0,0,0,1,0
822,0,14,AMD Dual-Core A4-9120 APU,4.14,0,2,0,0,0,0,0,0,0,0,1,0
870,0,14,Dual-Core,0,0,3,0,0,0,0,0,0,0,0,1,0
683,0,13.3,0,0,2017,0,space grey,0,0,0,0,0,1,0,0,0
487,0,13.3,0,0,2013,0,Silver,0,0,0,0,1,0,0,0,0
491,0,13.3,0,0,2013,0,Silver,0,0,0,0,0,1,0,0,0
494,0,13.3,0,0,2015,0,Silver,0,0,0,0,0,1,0,0,0
527,0,13.3,0,0,0,0,Gold,0,0,0,0,1,0,0,0,0
457,0,13.3,Core i5,0,2015,0,0,No,0,0,0,1,0,0,0,0
492,0,13.3,Core i5 - 5350U,0,2017,0,0,No,0,0,0,1,0,0,0,0
592,0,13.3,Core i5 (I5-5257U),0,2015,0,0,No,0,0,0,0,1,0,0,0
595,0,13.3,Dual i5,0,2015,0,0,No,0,0,0,0,1,0,0,0
641,0,13.3,Core i7,0,2012,0,0,No,0,0,0,0,1,0,0,0
666,0,13.3,Core 2 Duo P8600,0,2010,0,0,No,0,0,0,0,1,0,0,0
242,0,13.3,Intel Celeron 2957U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
322,0,13.3,Core i5 7300U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
323,0,13.3,Intel Core i3-4300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
339,0,13.3,Intel Core i5 6200U 2.8GHZ,4.7,0,2,0,0,0,1,0,0,0,0,0,0
374,0,13.3,Intel Core i7-8565U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
406,0,13.3,"Intel ""Core 2 Duo"" processor (P8600)",0,2010,2,0,0,0,0,1,0,0,0,0,0
450,0,13.3,Core i7,0,2014,0,0,0,0,0,0,1,0,0,0,0
453,0,13.3,Intel Core i5,0,2015,2,0,0,0,0,0,1,0,0,0,0
455,0,13.3,Core i7 (I7-5650U),0,2015,0,0,0,0,0,0,1,0,0,0,0
459,0,13.3,Core i5,0,2013,0,0,0,0,0,0,1,0,0,0,0
476,0,13.3,CORE I5 (5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
477,0,13.3,CORE I5 (5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
478,0,13.3,CORE I5 (5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
479,0,13.3,CORE I5 (5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
480,0,13.3,CORE I5 (5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
481,0,13.3,CORE I5 (4260U),0,0,0,0,0,0,0,0,1,0,0,0,0
482,0,13.3,CORE I5 (5350U),0,0,0,0,0,0,0,0,1,0,0,0,0
484,0,13.3,CORE I5 (5350U),0,0,0,0,0,0,0,0,1,0,0,0,0
485,0,13.3,Core i5 (I5-5250U),0,0,0,0,0,0,0,0,1,0,0,0,0
486,0,13.3,CORE I5 (4250U),0,0,0,0,0,0,0,0,1,0,0,0,0
488,0,13.3,0,0,2013,0,0,0,0,0,0,1,1,0,0,0
489,0,13.3,0,0,2012,0,0,0,0,0,0,1,0,0,0,0
490,0,13.3,0,0,2014,0,0,0,0,0,0,0,1,0,0,0
493,0,13.3,0,0,2015,0,0,0,0,0,0,1,0,0,0,0
542,0,13.3,i7,0,0,0,0,0,0,0,0,0,1,0,0,0
543,0,13.3,Core i7 (I7-6567U),0,0,0,0,0,0,0,0,0,1,0,0,0
591,0,13.3,Core i7 (I7-5557U),0,2015,0,0,0,0,0,0,0,1,0,0,0
594,0,13.3,Core i5 (I5-5257U),0,2015,0,0,0,0,0,0,0,1,0,0,0
596,0,13.3,Intel Core i5,0,2015,2,0,0,0,0,0,0,1,0,0,0
617,0,13.3,Dual i5,0,2013,0,0,0,0,0,0,0,1,0,0,0
619,0,13.3,Intel Core i5,0,2013,4,0,0,0,0,0,0,1,0,0,0
620,0,13.3,Intel Core i5,0,2013,4,0,0,0,0,0,0,1,0,0,0
621,0,13.3,Intel Core i5,0,2013,4,0,0,0,0,0,0,1,0,0,0
622,0,13.3,Intel Core i5,0,2014,4,0,0,0,0,0,0,1,0,0,0
623,0,13.3,Intel Core i7,0,2013,4,0,0,0,0,0,0,1,0,0,0
626,0,13.3,0,0,2013,2,0,0,0,0,0,0,1,0,0,0
631,0,13.3,Core i5,0,2014,0,0,0,0,0,0,0,1,0,0,0
636,0,13.3,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
637,0,13.3,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
638,0,13.3,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
639,0,13.3,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
640,0,13.3,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
642,0,13.3,Core i5,0,2012,4,0,0,0,0,0,0,1,0,0,0
643,0,13.3,Core i5,0,2012,0,0,0,0,0,0,0,1,0,0,0
684,0,13.3,0,0,2017,0,0,0,0,0,0,0,1,0,0,0
699,0,13.3,Intel Core i5,0,2014,4,0,0,0,0,0,0,1,0,0,0
700,0,13.3,Intel Core i7,0,2014,4,0,0,0,0,0,0,1,0,0,0
701,0,13.3,Intel Core i7,0,2014,4,0,0,0,0,0,0,1,0,0,0
706,0,13.3,0,0,2010,0,0,0,0,0,0,0,1,0,0,0
710,0,13.3,Intel Core i7,0,2015,4,0,0,0,0,0,0,1,0,0,0
711,0,13.3,Intel Core i7,0,2015,2,0,0,0,0,0,0,1,0,0,0
712,0,13.3,Intel Core i7,0,2015,2,0,0,0,0,0,0,1,0,0,0
713,0,13.3,Intel Core i5,0,2015,4,0,0,0,0,0,0,1,0,0,0
714,0,13.3,Intel Core i5,0,2015,4,0,0,0,0,0,0,1,0,0,0
719,0,13.3,Intel Core i5,0,2016,2,0,0,0,0,0,0,1,0,0,0
720,0,13.3,Intel Core i5,0,2016,2,0,0,0,0,0,0,1,0,0,0
721,0,13.3,Intel Core i5,0,2016,2,0,0,0,0,0,0,1,0,0,0
722,0,13.3,Intel Core i5,0,2016,2,0,0,0,0,0,0,1,0,0,0
723,0,13.3,Intel Core i5,0,2016,2,0,0,0,0,0,0,1,0,0,0
728,0,13.3,INTEL CORE I7-4558U,0,0,0,0,0,0,0,0,0,1,0,0,0
731,0,13.3,Seventh Generation - Intel Core i5,0,2017,0,0,0,0,0,0,0,1,0,0,0
373,0,13.1,Intel  i5-2.4 GHz,4.7,0,0,0,0,0,1,0,0,0,0,0,0
515,0,13,0,0,2017,0,Silver,0,0,0,0,1,0,0,0,0
514,0,13,Intel Core i5-4260U,0,2013,2,0,No,0,0,0,1,0,0,0,0
602,0,13,2.7GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache,0,2015,0,0,No,0,0,0,0,1,0,0,0
694,0,13,Intel Core I5-3210M,0,2012,0,0,No,0,0,0,0,1,0,0,0
695,0,13,Core i5,0,2012,0,0,No,0,0,0,0,1,0,0,0
384,0,13,Intel Core i5-7200U CPU @ 2.50GHz,4.7,0,0,0,0,0,1,0,0,0,0,0,0
385,0,13,Intel Core i7-8550U CPU @ 1.80GHz,4.7,0,0,0,0,0,1,0,0,0,0,0,0
499,0,13,Core i5,0,2014,0,0,0,0,0,0,1,0,0,0,0
500,0,13,Core i5,0,2015,0,0,0,0,0,0,1,0,0,0,0
501,0,13,Core i5,0,2015,0,0,0,0,0,0,1,0,0,0,0
503,0,13,Intel Core i5 5th Gen.,0,2015,2,0,0,0,0,0,1,0,0,0,0
512,0,13,Core i5,0,2017,0,0,0,0,0,0,1,0,0,0,0
513,0,13,Core i5,0,0,0,0,0,0,0,0,1,0,0,0,0
516,0,13,0,0,2017,0,0,0,0,0,0,1,0,0,0,0
517,0,13,Intel Core I5-5250U,0,2015,0,0,0,0,0,0,1,0,0,0,0
552,0,13,Core i5 (I5-5257U),0,0,0,0,0,0,0,0,0,1,0,0,0
553,0,13,Core i7 (I7-6660U),0,0,0,0,0,0,0,0,0,1,0,0,0
554,0,13,i5,0,0,0,0,0,0,0,0,0,1,0,0,0
574,0,13,i5,0,2017,0,0,0,0,0,0,0,1,0,0,0
575,0,13,i5,0,2017,0,0,0,0,0,0,0,1,0,0,0
576,0,13,Core i7 (I7-7660U),0,2017,0,0,0,0,0,0,0,1,0,0,0
577,0,13,Core i5 (I5-7360U),0,2017,0,0,0,0,0,0,0,1,0,0,0
600,0,13,i5,0,2015,0,0,0,0,0,0,0,1,0,0,0
601,0,13,i5,0,2015,0,0,0,0,0,0,0,1,0,0,0
607,0,13,i7,0,2013,0,0,0,0,0,0,0,1,0,0,0
651,0,13,Core i7,0,2012,0,0,0,0,0,0,0,1,0,0,0
653,0,13,Core I5-3210M,0,2012,0,0,0,0,0,0,0,1,0,0,0
654,0,13,Intel Core I5-3210M,0,2012,0,0,0,0,0,0,0,1,0,0,0
669,0,13,Intel Core I5-2435M,0,2011,0,0,0,0,0,0,0,1,0,0,0
680,0,13,Intel Core I5-4288U,0,2013,0,0,0,0,0,0,0,1,0,0,0
681,0,13,Intel Core I5-3230M,0,2013,0,0,0,0,0,0,0,1,0,0,0
682,0,13,Intel Core I5-4258U,0,2013,0,0,0,0,0,0,0,1,0,0,0
696,0,13,Intel Core I7-3615QM,0,2012,0,0,0,0,0,0,0,1,0,0,0
717,0,13,Intel Core I5-5257U,0,2015,0,0,0,0,0,0,0,1,0,0,0
730,0,13,Intel Core I5-2415M,0,2011,0,0,0,0,0,0,0,1,0,0,0
732,0,13,Intel Core I5-7360U,0,2017,0,0,0,0,0,0,0,1,0,0,0
216,0,12.5,Intel Core i5-4300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
295,0,12.5,Intel Core i5 3320m 2.6,4.7,0,2,0,No,0,1,0,0,0,0,0,0
296,0,12.5,Intel Core i5 3320m 2.6,0,0,2,0,No,0,1,0,0,0,0,0,0
247,0,12.5,Intel Core i7-4600U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
254,0,12.5,Intel Core i7-4600u,4.7,0,0,0,0,0,1,0,0,0,0,0,0
289,0,12.5,Intel Core i5 4300u 1.9GHz,4.7,0,2,0,0,0,1,0,0,0,0,0,0
381,0,12.5,Intel Core i5-4300U 1.9GHz Processor,4.7,0,0,0,0,0,1,0,0,0,0,0,0
388,0,12.5,Intel Core i5,4.7,0,0,0,0,0,1,0,0,0,0,0,0
429,0,12,0,0,2017,0,space grey,0,0,0,1,0,0,0,0,0
380,0,12,Intel i5-4300U,4.7,0,0,0,No,0,1,0,0,0,0,0,0
407,0,12,1.1 GHz Intel Core M (Broadwell),0,2015,0,0,0,0,0,1,0,0,0,0,0
408,0,12,Intel Core M-5Y31,0,2015,0,0,0,0,0,1,0,0,0,0,0
409,0,12,Intel Core M5-6Y54,0,2016,0,0,0,0,0,1,0,0,0,0,0
410,0,12,Intel Core M5-6Y54,0,2016,0,0,0,0,0,1,0,0,0,0,0
411,0,12,Intel Core M5-6Y54,0,2016,0,0,0,0,0,1,0,0,0,0,0
412,0,12,Intel Core M3-6Y30,0,2016,0,0,0,0,0,1,0,0,0,0,0
414,0,12,Intel,0,2015,0,0,0,0,0,1,0,0,0,0,0
415,0,12,Core i5,0,2015,0,0,0,0,0,1,0,0,0,0,0
416,0,12,Core i5,0,2015,0,0,0,0,0,1,0,0,0,0,0
422,0,12,Core i5,0,2016,0,0,0,0,0,1,0,0,0,0,0
423,0,12,Intel,0,2017,0,0,0,0,0,1,0,0,0,0,0
428,0,12,m7,0,0,0,0,0,0,0,1,0,0,0,0,0
430,0,12,Intel Core I5-7Y54,0,2017,0,0,0,0,0,1,0,0,0,0,0
434,0,12,INTEL CORE M-5Y51,0,0,0,0,0,0,0,1,0,0,0,0,0
435,0,12,INTEL CORE M3-7Y32,0,0,0,0,0,0,0,1,0,0,0,0,0
436,0,12,INTEL CORE M-5Y71,0,0,0,0,0,0,0,1,0,0,0,0,0
519,0,11.6,Intel Core i5,0,2013,0,0,No,0,0,0,1,0,0,0,0
520,0,11.6,Intel Core i5-4250U,0,2013,0,0,No,0,0,0,1,0,0,0,0
756,0,11.6,0,4.14,0,0,0,No,0,0,0,0,0,0,1,0
890,0,11.6,M8173C,0,0,0,0,No,0,0,0,0,0,0,1,0
241,0,11.6,Intel® Celeron® Processor N3050,4.7,0,0,0,0,0,1,0,0,0,0,0,0
497,0,11.6,Core i5,0,2014,0,0,0,0,0,0,1,0,0,0,0
526,0,11.6,Intel Core i5 dual-core,0,2014,2,0,0,0,0,0,1,0,0,0,0
528,0,11.6,0,0,2014,0,0,0,0,0,0,1,0,0,0,0
771,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
773,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
808,0,11.6,Samsung Exynos 5250,4.14,0,2,0,0,0,0,0,0,0,0,1,0
809,0,11.6,Intel Celeron N2840   2.10GHz,4.14,0,2,0,0,0,0,0,0,0,0,1,0
814,0,11.6,"Intel N3060 1,6GHz",4.14,0,0,0,0,0,0,0,0,0,0,1,0
866,0,11.6,CELERON N3050,0,0,2,0,0,0,0,0,0,0,0,1,0
867,0,11.6,Intel Celeron N2840,0,0,2,0,0,0,0,0,0,0,0,1,0
871,0,11.6,Intel Celeron N3350,0,0,0,0,0,0,0,0,0,0,0,1,0
889,0,11.6,Intel Celeron N3060,0,0,2,0,0,0,0,0,0,0,0,1,0
925,0,11.6,Intel Celeron N3060,0,0,0,0,0,0,0,0,0,0,0,1,0
751,0,11.3,Intel Celeron N2830,4.14,0,2,0,No,0,0,0,0,0,0,1,0
504,0,11,Core i5,0,2015,0,0,No,0,0,0,1,0,0,0,0
521,0,11,Intel Core I5-4260U,0,2014,0,0,No,0,0,0,1,0,0,0,0
522,0,11,Intel Core I5-2467M,0,2011,0,0,No,0,0,0,1,0,0,0,0
509,0,11,Intel Core I5-4260U,0,2014,0,0,0,0,0,0,1,0,0,0,0
510,0,11,Intel Core I5-4250U,0,2014,0,0,0,0,0,0,1,0,0,0,0
518,0,11,Intel Core I5-5250U,0,2015,0,0,0,0,0,0,1,0,0,0,0
523,0,11,Intel Core I5-2467M,0,2011,0,0,0,0,0,0,1,0,0,0,0
525,0,11,Intel Core I5-3317U,0,2012,0,0,0,0,0,0,1,0,0,0,0
772,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
393,0,0,0,0,0,0,Siver,0,0,1,0,0,0,0,0,0
671,0,0,0,0,2013,0,Silver,0,0,0,0,0,1,0,0,0
687,0,0,0,0,2012,0,Silver,0,0,0,0,0,1,0,0,0
810,0,0,Intel Celeron N4100,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
834,0,0,MediaTek MT8173C 2x A72 + 2x A53,0,0,4,0,Yes,0,0,0,0,0,0,1,0
264,0,0,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
365,0,0,Intel Core i5-8265U,0,0,4,0,No,0,1,0,0,0,0,0,0
424,0,0,Intel Core i5-7Y54,0,2017,2,0,No,0,0,1,0,0,0,0,0
150,0,0,"8th Gen Intel® Core™ i5 8265U (1.60GHz,",4.7,0,0,0,0,0,1,0,0,0,0,0,0
152,0,0,Core i5,4.7,0,0,0,0,0,1,0,0,0,0,0,0
154,0,0,Core i7,4.7,0,0,0,0,0,1,0,0,0,0,0,0
198,0,0,Intel Celeron N4000,4.7,0,0,0,0,0,1,0,0,0,0,0,0
255,0,0,Intel Core i5 2520M,4.7,0,2,0,0,0,1,0,0,0,0,0,0
313,0,0,Intel Core i5 3320M,4.7,0,2,0,0,0,1,0,0,0,0,0,0
319,0,0,I7-4600U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
389,0,0,10th Gen Intel® Core™ i7-10510U,4.7,0,0,0,0,0,1,0,0,0,0,0,0
390,0,0,Intel Core i5 5300U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
391,0,0,AMD A4-4300M,4.7,0,0,0,0,0,1,0,0,0,0,0,0
392,0,0,Intel Core i7 8550u,4.7,0,0,0,0,0,1,0,0,0,0,0,0
401,0,0,Intel Core i5-8250U,0,0,4,0,0,0,1,0,0,0,0,0,0
402,0,0,"9th Gen Intel® Core™ i7-9750H (2.60GHz,",0,0,0,0,0,0,1,0,0,0,0,0,0
431,0,0,0,0,2008,0,0,0,0,0,1,0,0,0,0,0
432,0,0,0,0,2019,0,0,0,0,0,0,1,1,0,0,0
433,0,0,0,0,2017,0,0,0,0,0,0,0,1,0,0,0
466,0,0,Core i5,0,2015,0,0,0,0,0,0,1,0,0,0,0
467,0,0,Core i5,0,2013,0,0,0,0,0,0,1,1,0,0,0
468,0,0,Core i5,0,2014,0,0,0,0,0,0,1,0,0,0,0
469,0,0,Core i5,0,2015,0,0,0,0,0,0,1,0,0,0,0
470,0,0,Core i5,0,2014,0,0,0,0,0,0,0,1,0,0,0
471,0,0,Core i7,0,2015,0,0,0,0,0,0,1,0,0,0,0
472,0,0,Core i5,0,2013,0,0,0,0,0,0,0,1,0,0,0
473,0,0,Core i5,0,2012,0,0,0,0,0,0,0,1,0,0,0
506,0,0,I5-2467M,0,2011,0,0,0,0,0,0,1,0,0,0,0
507,0,0,Intel Core I5-4260U,0,2014,0,0,0,0,0,0,1,0,0,0,0
508,0,0,Intel Core i5,0,2014,0,0,0,0,0,0,1,0,0,0,0
511,0,0,Intel Core I5-4250U,0,2013,0,0,0,0,0,0,1,0,0,0,0
609,0,0,Core i7,0,2013,0,0,0,0,0,0,0,1,0,0,0
610,0,0,Core i7,0,2014,0,0,0,0,0,0,0,1,0,0,0
611,0,0,Core i7,0,2013,0,0,0,0,0,0,0,1,0,0,0
612,0,0,Core i7,0,2013,0,0,0,0,0,0,0,1,0,0,0
627,0,0,Core i7,0,2014,0,0,0,0,0,0,0,1,0,0,0
664,0,0,0,0,2016,2,0,0,0,0,0,0,1,0,0,0
670,0,0,0,0,2013,0,0,0,0,0,0,0,1,0,0,0
672,0,0,Intel Core I5-4258U,0,2013,0,0,0,0,0,0,0,1,0,0,0
688,0,0,0,0,2012,0,0,0,0,0,0,0,1,0,0,0
704,0,0,0,0,2014,0,0,0,0,0,0,0,1,0,0,0
705,0,0,Intel Core I5-4288U,0,2014,0,0,0,0,0,0,0,1,0,0,0
715,0,0,Intel Core i5,0,2015,0,0,0,0,0,0,0,1,0,0,0
716,0,0,Intel Core i5,0,2015,0,0,0,0,0,0,0,1,0,0,0
729,0,0,Core 2 Duo,0,2011,0,0,0,0,0,0,0,1,0,0,0
777,0,0,A-Series,0,0,0,0,0,0,0,0,0,0,0,1,0
778,0,0,Cortex-A17 RK3288C,0,0,4,0,0,0,0,0,0,0,0,1,0
779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
811,0,0,MediaTek MT8173C 2x A72 + 2x A53,4.14,0,4,0,0,0,0,0,0,0,0,1,0
823,0,0,Intel Celeron,4.14,0,2,0,0,0,0,0,0,0,0,1,0
856,0,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
857,0,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
868,0,0,Intel Dual Core Celeron N3350,0,0,2,0,0,0,0,0,0,0,0,1,0
869,0,0,Intel Celeron-N3350,0,0,2,0,0,0,0,0,0,0,0,1,0
884,0,0,AMD A4-9120C,0,0,2,0,0,0,0,0,0,0,0,1,0
885,0,0,AMD A4-9120C,0,0,2,0,0,0,0,0,0,0,0,1,0
892,0,0,Core i5,0,0,0,0,0,0,0,0,0,0,0,1,0
893,0,0,Core i3,0,0,0,0,0,0,0,0,0,0,0,1,0
901,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,1,0
902,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,1,0
903,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,1,0
904,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,1,0
905,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,1,0
906,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,1,0
907,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,1,0
908,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,1,0
909,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,1,0
910,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
911,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,1,0
912,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,1,0
913,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,1,0
914,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,1,0
915,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,1,0
916,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,1,0
917,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,1,0
918,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,1,0
919,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,1,0
920,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,1,0
921,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0
922,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,1,0
1022,0,0,Intel Core i7 8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1037,0,0,Intel Core i7 9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1038,0,0,Intel Core i7 9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1039,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1040,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1041,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1045,0,0,Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1
1046,0,0,Intel Core i5 8300H,0,0,4,0,0,0,0,0,0,0,0,0,1
1064,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1065,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1066,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1067,0,0,Intel Core i9-9900K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1068,0,0,Intel Core i9-9900K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1069,0,0,Intel Core i7-8750H CPU @ 2.20GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1070,0,0,Intel Core i7-8750H CPU @ 2.20GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1076,0,0,Intel Core i7-9700K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1077,0,0,Intel Core i7-9700 CPU @ 3.00GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1078,0,0,Intel Core i7-7700HQ CPU @ 2.80GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1079,0,0,Intel Core i7-9700K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1